,embedding_type,feature_n,fam_duration,test_type,background,deviant,violation_type
74,resnet_pa,3,2,novel,animate_003_left.png,animate_002_left.png,identity
75,resnet_pa,3,2,novel,animate_003_right.png,animate_002_right.png,identity
76,resnet_pa,3,2,novel,animate_004_left.png,animate_003_left.png,identity
77,resnet_pa,3,2,novel,animate_004_right.png,animate_003_right.png,identity
78,resnet_pa,3,2,novel,animate_005_left.png,animate_004_left.png,identity
79,resnet_pa,3,2,novel,animate_005_right.png,animate_004_right.png,identity
80,resnet_pa,3,2,novel,animate_006_left.png,animate_005_left.png,identity
81,resnet_pa,3,2,novel,animate_006_right.png,animate_005_right.png,identity
82,resnet_pa,3,2,novel,animate_007_left.png,animate_006_left.png,identity
83,resnet_pa,3,2,novel,animate_007_right.png,animate_006_right.png,identity
84,resnet_pa,3,3,fam,animate_001_left.png,animate_007_left.png,identity
85,resnet_pa,3,3,fam,animate_001_right.png,animate_007_right.png,identity
86,resnet_pa,3,3,fam,animate_002_left.png,animate_001_left.png,identity
87,resnet_pa,3,3,fam,animate_002_right.png,animate_001_right.png,identity
88,resnet_pa,3,3,fam,animate_003_left.png,animate_002_left.png,identity
89,resnet_pa,3,3,fam,animate_003_right.png,animate_002_right.png,identity
90,resnet_pa,3,3,fam,animate_004_left.png,animate_003_left.png,identity
91,resnet_pa,3,3,fam,animate_004_right.png,animate_003_right.png,identity
92,resnet_pa,3,3,fam,animate_005_left.png,animate_004_left.png,identity
93,resnet_pa,3,3,fam,animate_005_right.png,animate_004_right.png,identity
94,resnet_pa,3,3,fam,animate_006_left.png,animate_005_left.png,identity
95,resnet_pa,3,3,fam,animate_006_right.png,animate_005_right.png,identity
96,resnet_pa,3,3,fam,animate_007_left.png,animate_006_left.png,identity
97,resnet_pa,3,3,fam,animate_007_right.png,animate_006_right.png,identity
98,resnet_pa,3,3,novel,animate_001_left.png,animate_007_left.png,identity
99,resnet_pa,3,3,novel,animate_001_right.png,animate_007_right.png,identity
100,resnet_pa,3,3,novel,animate_002_left.png,animate_001_left.png,identity
101,resnet_pa,3,3,novel,animate_002_right.png,animate_001_right.png,identity
102,resnet_pa,3,3,novel,animate_003_left.png,animate_002_left.png,identity
103,resnet_pa,3,3,novel,animate_003_right.png,animate_002_right.png,identity
104,resnet_pa,3,3,novel,animate_004_left.png,animate_003_left.png,identity
105,resnet_pa,3,3,novel,animate_004_right.png,animate_003_right.png,identity
106,resnet_pa,3,3,novel,animate_005_left.png,animate_004_left.png,identity
107,resnet_pa,3,3,novel,animate_005_right.png,animate_004_right.png,identity
108,resnet_pa,3,3,novel,animate_006_left.png,animate_005_left.png,identity
109,resnet_pa,3,3,novel,animate_006_right.png,animate_005_right.png,identity
110,resnet_pa,3,3,novel,animate_007_left.png,animate_006_left.png,identity
111,resnet_pa,3,3,novel,animate_007_right.png,animate_006_right.png,identity
112,resnet_pa,3,4,fam,animate_001_left.png,animate_007_left.png,identity
113,resnet_pa,3,4,fam,animate_001_right.png,animate_007_right.png,identity
114,resnet_pa,3,4,fam,animate_002_left.png,animate_001_left.png,identity
115,resnet_pa,3,4,fam,animate_002_right.png,animate_001_right.png,identity
116,resnet_pa,3,4,fam,animate_003_left.png,animate_002_left.png,identity
117,resnet_pa,3,4,fam,animate_003_right.png,animate_002_right.png,identity
118,resnet_pa,3,4,fam,animate_004_left.png,animate_003_left.png,identity
119,resnet_pa,3,4,fam,animate_004_right.png,animate_003_right.png,identity
120,resnet_pa,3,4,fam,animate_005_left.png,animate_004_left.png,identity
121,resnet_pa,3,4,fam,animate_005_right.png,animate_004_right.png,identity
122,resnet_pa,3,4,fam,animate_006_left.png,animate_005_left.png,identity
123,resnet_pa,3,4,fam,animate_006_right.png,animate_005_right.png,identity
124,resnet_pa,3,4,fam,animate_007_left.png,animate_006_left.png,identity
125,resnet_pa,3,4,fam,animate_007_right.png,animate_006_right.png,identity
126,resnet_pa,3,4,novel,animate_001_left.png,animate_007_left.png,identity
127,resnet_pa,3,4,novel,animate_001_right.png,animate_007_right.png,identity
128,resnet_pa,3,4,novel,animate_002_left.png,animate_001_left.png,identity
129,resnet_pa,3,4,novel,animate_002_right.png,animate_001_right.png,identity
130,resnet_pa,3,4,novel,animate_003_left.png,animate_002_left.png,identity
131,resnet_pa,3,4,novel,animate_003_right.png,animate_002_right.png,identity
132,resnet_pa,3,4,novel,animate_004_left.png,animate_003_left.png,identity
133,resnet_pa,3,4,novel,animate_004_right.png,animate_003_right.png,identity
134,resnet_pa,3,4,novel,animate_005_left.png,animate_004_left.png,identity
135,resnet_pa,3,4,novel,animate_005_right.png,animate_004_right.png,identity
136,resnet_pa,3,4,novel,animate_006_left.png,animate_005_left.png,identity
137,resnet_pa,3,4,novel,animate_006_right.png,animate_005_right.png,identity
138,resnet_pa,3,4,novel,animate_007_left.png,animate_006_left.png,identity
139,resnet_pa,3,4,novel,animate_007_right.png,animate_006_right.png,identity
140,resnet_pa,3,5,fam,animate_001_left.png,animate_007_left.png,identity
141,resnet_pa,3,5,fam,animate_001_right.png,animate_007_right.png,identity
142,resnet_pa,3,5,fam,animate_002_left.png,animate_001_left.png,identity
143,resnet_pa,3,5,fam,animate_002_right.png,animate_001_right.png,identity
144,resnet_pa,3,5,fam,animate_003_left.png,animate_002_left.png,identity
145,resnet_pa,3,5,fam,animate_003_right.png,animate_002_right.png,identity
146,resnet_pa,3,5,fam,animate_004_left.png,animate_003_left.png,identity
147,resnet_pa,3,5,fam,animate_004_right.png,animate_003_right.png,identity
148,resnet_pa,3,5,fam,animate_005_left.png,animate_004_left.png,identity
149,resnet_pa,3,5,fam,animate_005_right.png,animate_004_right.png,identity
150,resnet_pa,3,5,fam,animate_006_left.png,animate_005_left.png,identity
151,resnet_pa,3,5,fam,animate_006_right.png,animate_005_right.png,identity
152,resnet_pa,3,5,fam,animate_007_left.png,animate_006_left.png,identity
153,resnet_pa,3,5,fam,animate_007_right.png,animate_006_right.png,identity
154,resnet_pa,3,5,novel,animate_001_left.png,animate_007_left.png,identity
155,resnet_pa,3,5,novel,animate_001_right.png,animate_007_right.png,identity
156,resnet_pa,3,5,novel,animate_002_left.png,animate_001_left.png,identity
157,resnet_pa,3,5,novel,animate_002_right.png,animate_001_right.png,identity
158,resnet_pa,3,5,novel,animate_003_left.png,animate_002_left.png,identity
159,resnet_pa,3,5,novel,animate_003_right.png,animate_002_right.png,identity
160,resnet_pa,3,5,novel,animate_004_left.png,animate_003_left.png,identity
161,resnet_pa,3,5,novel,animate_004_right.png,animate_003_right.png,identity
162,resnet_pa,3,5,novel,animate_005_left.png,animate_004_left.png,identity
163,resnet_pa,3,5,novel,animate_005_right.png,animate_004_right.png,identity
164,resnet_pa,3,5,novel,animate_006_left.png,animate_005_left.png,identity
165,resnet_pa,3,5,novel,animate_006_right.png,animate_005_right.png,identity
166,resnet_pa,3,5,novel,animate_007_left.png,animate_006_left.png,identity
167,resnet_pa,3,5,novel,animate_007_right.png,animate_006_right.png,identity
168,resnet_pa,3,6,fam,animate_001_left.png,animate_007_left.png,identity
169,resnet_pa,3,6,fam,animate_001_right.png,animate_007_right.png,identity
170,resnet_pa,3,6,fam,animate_002_left.png,animate_001_left.png,identity
171,resnet_pa,3,6,fam,animate_002_right.png,animate_001_right.png,identity
172,resnet_pa,3,6,fam,animate_003_left.png,animate_002_left.png,identity
173,resnet_pa,3,6,fam,animate_003_right.png,animate_002_right.png,identity
174,resnet_pa,3,6,fam,animate_004_left.png,animate_003_left.png,identity
175,resnet_pa,3,6,fam,animate_004_right.png,animate_003_right.png,identity
176,resnet_pa,3,6,fam,animate_005_left.png,animate_004_left.png,identity
177,resnet_pa,3,6,fam,animate_005_right.png,animate_004_right.png,identity
178,resnet_pa,3,6,fam,animate_006_left.png,animate_005_left.png,identity
179,resnet_pa,3,6,fam,animate_006_right.png,animate_005_right.png,identity
180,resnet_pa,3,6,fam,animate_007_left.png,animate_006_left.png,identity
181,resnet_pa,3,6,fam,animate_007_right.png,animate_006_right.png,identity
182,resnet_pa,3,6,novel,animate_001_left.png,animate_007_left.png,identity
183,resnet_pa,3,6,novel,animate_001_right.png,animate_007_right.png,identity
184,resnet_pa,3,6,novel,animate_002_left.png,animate_001_left.png,identity
185,resnet_pa,3,6,novel,animate_002_right.png,animate_001_right.png,identity
186,resnet_pa,3,6,novel,animate_003_left.png,animate_002_left.png,identity
187,resnet_pa,3,6,novel,animate_003_right.png,animate_002_right.png,identity
188,resnet_pa,3,6,novel,animate_004_left.png,animate_003_left.png,identity
189,resnet_pa,3,6,novel,animate_004_right.png,animate_003_right.png,identity
190,resnet_pa,3,6,novel,animate_005_left.png,animate_004_left.png,identity
191,resnet_pa,3,6,novel,animate_005_right.png,animate_004_right.png,identity
192,resnet_pa,3,6,novel,animate_006_left.png,animate_005_left.png,identity
193,resnet_pa,3,6,novel,animate_006_right.png,animate_005_right.png,identity
194,resnet_pa,3,6,novel,animate_007_left.png,animate_006_left.png,identity
195,resnet_pa,3,6,novel,animate_007_right.png,animate_006_right.png,identity
196,resnet_pa,3,7,fam,animate_001_left.png,animate_007_left.png,identity
197,resnet_pa,3,7,fam,animate_001_right.png,animate_007_right.png,identity
198,resnet_pa,3,7,fam,animate_002_left.png,animate_001_left.png,identity
199,resnet_pa,3,7,fam,animate_002_right.png,animate_001_right.png,identity
200,resnet_pa,3,7,fam,animate_003_left.png,animate_002_left.png,identity
201,resnet_pa,3,7,fam,animate_003_right.png,animate_002_right.png,identity
202,resnet_pa,3,7,fam,animate_004_left.png,animate_003_left.png,identity
203,resnet_pa,3,7,fam,animate_004_right.png,animate_003_right.png,identity
204,resnet_pa,3,7,fam,animate_005_left.png,animate_004_left.png,identity
205,resnet_pa,3,7,fam,animate_005_right.png,animate_004_right.png,identity
206,resnet_pa,3,7,fam,animate_006_left.png,animate_005_left.png,identity
207,resnet_pa,3,7,fam,animate_006_right.png,animate_005_right.png,identity
208,resnet_pa,3,7,fam,animate_007_left.png,animate_006_left.png,identity
209,resnet_pa,3,7,fam,animate_007_right.png,animate_006_right.png,identity
210,resnet_pa,3,7,novel,animate_001_left.png,animate_007_left.png,identity
211,resnet_pa,3,7,novel,animate_001_right.png,animate_007_right.png,identity
212,resnet_pa,3,7,novel,animate_002_left.png,animate_001_left.png,identity
213,resnet_pa,3,7,novel,animate_002_right.png,animate_001_right.png,identity
214,resnet_pa,3,7,novel,animate_003_left.png,animate_002_left.png,identity
215,resnet_pa,3,7,novel,animate_003_right.png,animate_002_right.png,identity
216,resnet_pa,3,7,novel,animate_004_left.png,animate_003_left.png,identity
217,resnet_pa,3,7,novel,animate_004_right.png,animate_003_right.png,identity
218,resnet_pa,3,7,novel,animate_005_left.png,animate_004_left.png,identity
219,resnet_pa,3,7,novel,animate_005_right.png,animate_004_right.png,identity
220,resnet_pa,3,7,novel,animate_006_left.png,animate_005_left.png,identity
221,resnet_pa,3,7,novel,animate_006_right.png,animate_005_right.png,identity
222,resnet_pa,3,7,novel,animate_007_left.png,animate_006_left.png,identity
223,resnet_pa,3,7,novel,animate_007_right.png,animate_006_right.png,identity
224,resnet_pa,3,8,fam,animate_001_left.png,animate_007_left.png,identity
225,resnet_pa,3,8,fam,animate_001_right.png,animate_007_right.png,identity
226,resnet_pa,3,8,fam,animate_002_left.png,animate_001_left.png,identity
227,resnet_pa,3,8,fam,animate_002_right.png,animate_001_right.png,identity
228,resnet_pa,3,8,fam,animate_003_left.png,animate_002_left.png,identity
229,resnet_pa,3,8,fam,animate_003_right.png,animate_002_right.png,identity
230,resnet_pa,3,8,fam,animate_004_left.png,animate_003_left.png,identity
231,resnet_pa,3,8,fam,animate_004_right.png,animate_003_right.png,identity
232,resnet_pa,3,8,fam,animate_005_left.png,animate_004_left.png,identity
233,resnet_pa,3,8,fam,animate_005_right.png,animate_004_right.png,identity
234,resnet_pa,3,8,fam,animate_006_left.png,animate_005_left.png,identity
235,resnet_pa,3,8,fam,animate_006_right.png,animate_005_right.png,identity
236,resnet_pa,3,8,fam,animate_007_left.png,animate_006_left.png,identity
237,resnet_pa,3,8,fam,animate_007_right.png,animate_006_right.png,identity
238,resnet_pa,3,8,novel,animate_001_left.png,animate_007_left.png,identity
239,resnet_pa,3,8,novel,animate_001_right.png,animate_007_right.png,identity
240,resnet_pa,3,8,novel,animate_002_left.png,animate_001_left.png,identity
241,resnet_pa,3,8,novel,animate_002_right.png,animate_001_right.png,identity
242,resnet_pa,3,8,novel,animate_003_left.png,animate_002_left.png,identity
243,resnet_pa,3,8,novel,animate_003_right.png,animate_002_right.png,identity
244,resnet_pa,3,8,novel,animate_004_left.png,animate_003_left.png,identity
245,resnet_pa,3,8,novel,animate_004_right.png,animate_003_right.png,identity
246,resnet_pa,3,8,novel,animate_005_left.png,animate_004_left.png,identity
247,resnet_pa,3,8,novel,animate_005_right.png,animate_004_right.png,identity
248,resnet_pa,3,8,novel,animate_006_left.png,animate_005_left.png,identity
249,resnet_pa,3,8,novel,animate_006_right.png,animate_005_right.png,identity
250,resnet_pa,3,8,novel,animate_007_left.png,animate_006_left.png,identity
251,resnet_pa,3,8,novel,animate_007_right.png,animate_006_right.png,identity
252,resnet_pa,3,9,fam,animate_001_left.png,animate_007_left.png,identity
253,resnet_pa,3,9,fam,animate_001_right.png,animate_007_right.png,identity
254,resnet_pa,3,9,fam,animate_002_left.png,animate_001_left.png,identity
255,resnet_pa,3,9,fam,animate_002_right.png,animate_001_right.png,identity
256,resnet_pa,3,9,fam,animate_003_left.png,animate_002_left.png,identity
257,resnet_pa,3,9,fam,animate_003_right.png,animate_002_right.png,identity
258,resnet_pa,3,9,fam,animate_004_left.png,animate_003_left.png,identity
259,resnet_pa,3,9,fam,animate_004_right.png,animate_003_right.png,identity
260,resnet_pa,3,9,fam,animate_005_left.png,animate_004_left.png,identity
261,resnet_pa,3,9,fam,animate_005_right.png,animate_004_right.png,identity
262,resnet_pa,3,9,fam,animate_006_left.png,animate_005_left.png,identity
263,resnet_pa,3,9,fam,animate_006_right.png,animate_005_right.png,identity
264,resnet_pa,3,9,fam,animate_007_left.png,animate_006_left.png,identity
265,resnet_pa,3,9,fam,animate_007_right.png,animate_006_right.png,identity
266,resnet_pa,3,9,novel,animate_001_left.png,animate_007_left.png,identity
267,resnet_pa,3,9,novel,animate_001_right.png,animate_007_right.png,identity
268,resnet_pa,3,9,novel,animate_002_left.png,animate_001_left.png,identity
269,resnet_pa,3,9,novel,animate_002_right.png,animate_001_right.png,identity
270,resnet_pa,3,9,novel,animate_003_left.png,animate_002_left.png,identity
271,resnet_pa,3,9,novel,animate_003_right.png,animate_002_right.png,identity
272,resnet_pa,3,9,novel,animate_004_left.png,animate_003_left.png,identity
273,resnet_pa,3,9,novel,animate_004_right.png,animate_003_right.png,identity
274,resnet_pa,3,9,novel,animate_005_left.png,animate_004_left.png,identity
275,resnet_pa,3,9,novel,animate_005_right.png,animate_004_right.png,identity
276,resnet_pa,3,9,novel,animate_006_left.png,animate_005_left.png,identity
277,resnet_pa,3,9,novel,animate_006_right.png,animate_005_right.png,identity
278,resnet_pa,3,9,novel,animate_007_left.png,animate_006_left.png,identity
279,resnet_pa,3,9,novel,animate_007_right.png,animate_006_right.png,identity
